Mstar (Msun),Age log(years),Age (Myr),Teff (K),log(L/Lsun),logg (g/cm^3),Rstar (Rsun)
0.15,9.463041,2904.296825,3131,-2.581,5.13,0.174
0.15,9.467755,2935.992893,3131,-2.58,5.13,0.174
0.15,9.472416,2967.672689,3131,-2.58,5.13,0.174
0.15,9.477029,2999.362795,3131,-2.58,5.13,0.174
0.15,9.481593,3031.049298,3131,-2.58,5.13,0.174
0.15,9.48611,3062.739079,3131,-2.58,5.13,0.174
0.15,9.490581,3094.432402,3131,-2.58,5.13,0.174
0.15,9.495004,3126.10816,3131,-2.58,5.13,0.174
0.15,9.499385,3157.80276,3131,-2.58,5.13,0.174
0.15,9.503721,3189.488202,3131,-2.58,5.13,0.174
0.15,9.508015,3221.180045,3131,-2.58,5.13,0.174
0.15,9.512267,3252.872193,3131,-2.58,5.13,0.174
0.15,9.516476,3284.550927,3131,-2.58,5.13,0.174
0.15,9.520646,3316.240356,3131,-2.58,5.13,0.174
0.15,9.524776,3347.927155,3131,-2.58,5.13,0.174
0.15,9.528868,3379.621,3131,-2.58,5.13,0.174
0.15,9.532921,3411.308528,3131,-2.58,5.13,0.174
0.15,9.536936,3442.991892,3131,-2.58,5.13,0.174
0.15,9.540915,3474.681484,3131,-2.58,5.13,0.174
0.15,9.552638,3569.751625,3131,-2.58,5.13,0.174
0.15,9.56028,3633.122153,3131,-2.58,5.13,0.174
0.15,9.571498,3728.18968,3131,-2.58,5.13,0.174
0.15,9.582433,3823.252666,3131,-2.58,5.13,0.174
0.15,9.589573,3886.628223,3131,-2.58,5.13,0.174
0.15,9.600067,3981.685926,3131,-2.58,5.13,0.174
0.15,9.610315,4076.758637,3131,-2.58,5.13,0.174
0.15,9.620326,4171.824209,3131,-2.58,5.13,0.174
0.15,9.630111,4266.885609,3131,-2.58,5.13,0.174
0.15,9.639681,4361.953183,3131,-2.58,5.13,0.174
0.15,9.649044,4457.014018,3131,-2.58,5.13,0.174
0.15,9.661223,4583.771922,3131,-2.58,5.13,0.174
0.15,9.670137,4678.827136,3131,-2.58,5.13,0.174
0.15,9.681746,4805.582086,3131,-2.58,5.13,0.174
0.15,9.690254,4900.653535,3131,-2.58,5.13,0.174
0.15,9.701343,5027.394897,3131,-2.58,5.13,0.175
0.15,9.709479,5122.465004,3131,-2.58,5.13,0.175
0.15,9.720095,5249.222721,3131,-2.58,5.13,0.175
0.15,9.730457,5375.972024,3131,-2.58,5.13,0.175
0.15,9.740577,5502.714745,3131,-2.58,5.13,0.175
